,flight_date,departure_airport,departure_terminal,departure_gate,departure_delay,departure_scheduled,departure_estimated,arrival_airport,arrival_terminal,arrival_gate,arrival_delay,arrival_scheduled,arrival_estimated,airline_name,flight_number
0,2022-07-09,San Pablo,1,B17,,2022-07-09T12:35:00+00:00,2022-07-09T12:35:00+00:00,Lanzarote,1,,,2022-07-09T13:40:00+00:00,2022-07-09T13:40:00+00:00,Iberia,5350
1,2022-07-09,San Pablo,1,B17,,2022-07-09T12:35:00+00:00,2022-07-09T12:35:00+00:00,Lanzarote,1,,,2022-07-09T13:40:00+00:00,2022-07-09T13:40:00+00:00,Vueling,3160
2,2022-07-09,San Pablo,1,,,2022-07-09T11:35:00+00:00,2022-07-09T11:35:00+00:00,Gran Canaria,4,,,2022-07-09T12:55:00+00:00,2022-07-09T12:55:00+00:00,Vueling,3044
3,2022-07-09,San Pablo,1,,,2022-07-09T15:15:00+00:00,2022-07-09T15:15:00+00:00,Alicante El Altet,N,,,2022-07-09T16:20:00+00:00,2022-07-09T16:20:00+00:00,Ryanair,5065
4,2022-07-09,San Pablo,1,B17,20.0,2022-07-09T08:50:00+00:00,2022-07-09T08:50:00+00:00,El Prat De Llobregat,1,,3.0,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,American Airlines,8851
5,2022-07-09,San Pablo,1,B11,3.0,2022-07-09T13:15:00+00:00,2022-07-09T13:15:00+00:00,Norte Los Rodeos,NT,,,2022-07-09T14:30:00+00:00,2022-07-09T14:30:00+00:00,Vueling,3254
6,2022-07-09,San Pablo,1,B11,,2022-07-09T14:15:00+00:00,2022-07-09T14:15:00+00:00,El Prat De Llobregat,1,,,2022-07-09T15:55:00+00:00,2022-07-09T15:55:00+00:00,American Airlines,8855
7,2022-07-09,San Pablo,1,,,2022-07-09T14:45:00+00:00,2022-07-09T14:45:00+00:00,Francisco Sá Carneiro,2,,,2022-07-09T14:55:00+00:00,2022-07-09T14:55:00+00:00,Ryanair,5466
8,2022-07-09,San Pablo,1,,5.0,2022-07-09T11:05:00+00:00,2022-07-09T11:05:00+00:00,Gran Canaria,4,,,2022-07-09T12:20:00+00:00,2022-07-09T12:20:00+00:00,Ryanair,7724
9,2022-07-09,San Pablo,1,,,2022-07-09T13:20:00+00:00,2022-07-09T13:20:00+00:00,El Prat De Llobregat,2,,,2022-07-09T14:50:00+00:00,2022-07-09T14:50:00+00:00,Ryanair,6399
10,2022-07-09,San Pablo,1,B17,20.0,2022-07-09T08:50:00+00:00,2022-07-09T08:50:00+00:00,El Prat De Llobregat,1,,3.0,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,Iberia,5199
11,2022-07-09,San Pablo,1,B11,,2022-07-09T14:15:00+00:00,2022-07-09T14:15:00+00:00,El Prat De Llobregat,1,,,2022-07-09T15:55:00+00:00,2022-07-09T15:55:00+00:00,Iberia,5203
12,2022-07-09,San Pablo,1,B11,3.0,2022-07-09T13:15:00+00:00,2022-07-09T13:15:00+00:00,Norte Los Rodeos,NT,,,2022-07-09T14:30:00+00:00,2022-07-09T14:30:00+00:00,Iberia,5388
13,2022-07-09,San Pablo,1,,,2022-07-09T13:15:00+00:00,2022-07-09T13:15:00+00:00,Barajas,4,,,2022-07-09T14:20:00+00:00,2022-07-09T14:20:00+00:00,American Airlines,8710
14,2022-07-09,San Pablo,1,B11,,2022-07-09T14:15:00+00:00,2022-07-09T14:15:00+00:00,El Prat De Llobregat,1,,,2022-07-09T15:55:00+00:00,2022-07-09T15:55:00+00:00,Qatar Airways,3539
15,2022-07-09,San Pablo,1,,,2022-07-09T11:35:00+00:00,2022-07-09T11:35:00+00:00,Gran Canaria,4,,,2022-07-09T12:55:00+00:00,2022-07-09T12:55:00+00:00,Iberia,5306
16,2022-07-09,San Pablo,1,B17,20.0,2022-07-09T08:50:00+00:00,2022-07-09T08:50:00+00:00,El Prat De Llobregat,1,,3.0,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,Qatar Airways,3574
17,2022-07-09,San Pablo,1,B11,18.0,2022-07-09T08:55:00+00:00,2022-07-09T08:55:00+00:00,Son Sant Joan Airport,1,,,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,Vueling,3941
18,2022-07-09,San Pablo,1,B11,18.0,2022-07-09T08:55:00+00:00,2022-07-09T08:55:00+00:00,Son Sant Joan Airport,1,,,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,Iberia,5549
19,2022-07-09,San Pablo,1,,,2022-07-09T14:05:00+00:00,2022-07-09T14:05:00+00:00,Franz Josef Strauss,2,G30,,2022-07-09T16:55:00+00:00,2022-07-09T16:55:00+00:00,Lufthansa,1823
20,2022-07-09,San Pablo,1,B17,20.0,2022-07-09T08:50:00+00:00,2022-07-09T08:50:00+00:00,El Prat De Llobregat,1,,3.0,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,Vueling,2211
21,2022-07-09,San Pablo,1,,,2022-07-09T10:15:00+00:00,2022-07-09T10:15:00+00:00,Lisbon Portela,1,,,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,TAP Air Portugal,1107
22,2022-07-09,San Pablo,1,B11,,2022-07-09T14:15:00+00:00,2022-07-09T14:15:00+00:00,El Prat De Llobregat,1,,,2022-07-09T15:55:00+00:00,2022-07-09T15:55:00+00:00,Vueling,2215
23,2022-07-09,San Pablo,,,,2022-07-09T15:55:00+00:00,2022-07-09T15:55:00+00:00,Valencia,,,,2022-07-09T17:35:00+00:00,2022-07-09T17:35:00+00:00,Iberia,8391
24,2022-07-09,San Pablo,1,,70.0,2022-07-09T07:05:00+00:00,2022-07-09T07:05:00+00:00,Norte Los Rodeos,NT,,,2022-07-09T08:25:00+00:00,2022-07-09T08:25:00+00:00,Ryanair,6584
25,2022-07-09,San Pablo,1,A1,5.0,2022-07-09T06:55:00+00:00,2022-07-09T06:55:00+00:00,Norte Los Rodeos,NT,,,2022-07-09T08:10:00+00:00,2022-07-09T08:10:00+00:00,Vueling,3256
26,2022-07-09,San Pablo,,,5.0,2022-07-09T12:00:00+00:00,2022-07-09T12:00:00+00:00,Birmingham International Airport,2,,,2022-07-09T13:25:00+00:00,2022-07-09T13:25:00+00:00,Exxaero,616
27,2022-07-09,San Pablo,1,,20.0,2022-07-09T09:25:00+00:00,2022-07-09T09:25:00+00:00,Barajas,4,,,2022-07-09T10:35:00+00:00,2022-07-09T10:35:00+00:00,Iberia,3947
28,2022-07-09,San Pablo,1,A5,3.0,2022-07-09T09:05:00+00:00,2022-07-09T09:05:00+00:00,Bilbao,O,,,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,Iberia,5242
29,2022-07-09,San Pablo,1,A5,3.0,2022-07-09T09:05:00+00:00,2022-07-09T09:05:00+00:00,Bilbao,O,,,2022-07-09T10:30:00+00:00,2022-07-09T10:30:00+00:00,Vueling,2511
30,2022-07-09,San Pablo,,,,2022-07-09T16:50:00+00:00,2022-07-09T16:50:00+00:00,Billund,,,,2022-07-09T20:20:00+00:00,2022-07-09T20:20:00+00:00,Ryanair,6379
31,2022-07-09,San Pablo,1,,1.0,2022-07-09T06:45:00+00:00,2022-07-09T06:45:00+00:00,Guglielmo Marconi,1,,,2022-07-09T09:20:00+00:00,2022-07-09T09:20:00+00:00,Ryanair,4349
32,2022-07-09,San Pablo,1,A3,4.0,2022-07-09T06:50:00+00:00,2022-07-09T06:50:00+00:00,Charles De Gaulle,3,,,2022-07-09T09:20:00+00:00,2022-07-09T09:20:00+00:00,Iberia,5910
33,2022-07-09,San Pablo,1,A3,4.0,2022-07-09T06:50:00+00:00,2022-07-09T06:50:00+00:00,Charles De Gaulle,3,,,2022-07-09T09:20:00+00:00,2022-07-09T09:20:00+00:00,Vueling,8830
34,2022-07-09,San Pablo,1,,150.0,2022-07-09T06:55:00+00:00,2022-07-09T06:55:00+00:00,Findel,A,A4,130.0,2022-07-09T09:35:00+00:00,2022-07-09T09:35:00+00:00,Ryanair,5436
35,2022-07-09,San Pablo,1,,,2022-07-09T15:55:00+00:00,2022-07-09T15:55:00+00:00,Lisbon Portela,1,,,2022-07-09T16:10:00+00:00,2022-07-09T16:10:00+00:00,TAP Air Portugal,1105
36,2022-07-09,San Pablo,1,,,2022-07-09T11:05:00+00:00,2022-07-09T11:05:00+00:00,Edinburgh,I,,,2022-07-09T13:15:00+00:00,2022-07-09T13:15:00+00:00,Ryanair,6761
37,2022-07-09,San Pablo,1,,51.0,2022-07-09T06:30:00+00:00,2022-07-09T06:30:00+00:00,Orly,3,,26.0,2022-07-09T08:55:00+00:00,2022-07-09T08:55:00+00:00,Transavia,4771
38,2022-07-09,San Pablo,1,,,2022-07-09T13:10:00+00:00,2022-07-09T13:10:00+00:00,Frankfurt International Airport,1,,,2022-07-09T16:00:00+00:00,2022-07-09T16:00:00+00:00,Lufthansa,1141
39,2022-07-09,San Pablo,1,,,2022-07-09T14:20:00+00:00,2022-07-09T14:20:00+00:00,Mahon,TER1,,,2022-07-09T15:55:00+00:00,2022-07-09T15:55:00+00:00,Ryanair,778
40,2022-07-09,San Pablo,1,B11,,2022-07-09T11:25:00+00:00,2022-07-09T11:25:00+00:00,Fuerteventura,1,,,2022-07-09T12:30:00+00:00,2022-07-09T12:30:00+00:00,Iberia,5352
41,2022-07-09,San Pablo,1,B11,,2022-07-09T11:25:00+00:00,2022-07-09T11:25:00+00:00,Fuerteventura,1,,,2022-07-09T12:30:00+00:00,2022-07-09T12:30:00+00:00,Vueling,3164
42,2022-07-09,San Pablo,1,,,2022-07-09T15:35:00+00:00,2022-07-09T15:35:00+00:00,Menara,1,,,2022-07-09T15:55:00+00:00,2022-07-09T15:55:00+00:00,Ryanair,4008
43,2022-07-09,San Pablo,1,,,2022-07-09T14:30:00+00:00,2022-07-09T14:30:00+00:00,Son Sant Joan Airport,,,,2022-07-09T16:00:00+00:00,2022-07-09T16:00:00+00:00,Lauda Europe,5272
44,2022-07-09,San Pablo,1,,,2022-07-09T13:40:00+00:00,2022-07-09T13:40:00+00:00,Orly,ORLY,,,2022-07-09T16:00:00+00:00,2022-07-09T16:00:00+00:00,Transavia France,4605
45,2022-07-09,San Pablo,1,A3,6.0,2022-07-09T07:25:00+00:00,2022-07-09T07:25:00+00:00,Ibiza,1,,,2022-07-09T08:45:00+00:00,2022-07-09T08:45:00+00:00,Iberia,5218
46,2022-07-09,San Pablo,1,,,2022-07-09T13:15:00+00:00,2022-07-09T13:15:00+00:00,Barajas,4,,,2022-07-09T14:20:00+00:00,2022-07-09T14:20:00+00:00,Iberia,563
